,Sim_time,Rec_time,Event
0,0:00:27.081699,4.212164640426636,Crossed line 'Broken'
1,0:00:28.130732,5.223952531814575,Crossed line 'Broken'
2,0:00:28.166703,5.223952531814575,Crossed line 'Broken'
3,0:00:29.108825,6.277744293212891,Crossed line 'Broken'
4,0:00:29.245687,6.277744293212891,Crossed line 'Solid'
5,0:00:29.728515,7.315464496612549,Crossed line 'Solid'
6,0:00:36.009407,13.015794277191162,Crossed line 'Broken'
7,0:00:38.136909,15.641950607299805,Crossed line 'Solid'
8,0:00:38.449001,15.641950607299805,Crossed line 'Solid'
9,0:00:39.806561,17.23032784461975,Crossed line 'Solid'
10,0:00:40.075271,17.23032784461975,Crossed line 'Solid'
11,0:00:59.557444,37.0544753074646,Crossed line 'Broken'
12,0:00:59.689971,37.0544753074646,Crossed line 'Broken'
13,0:00:59.835424,37.0544753074646,Crossed line 'Broken'
14,0:01:00.019516,37.0544753074646,Crossed line 'Broken'
15,0:01:00.247371,37.56613826751709,Crossed line 'Broken'
16,0:01:00.284719,37.56613826751709,Crossed line 'Broken'
17,0:01:00.819525,38.095088958740234,Crossed line 'Broken'
18,0:01:00.855381,38.095088958740234,Crossed line 'Broken'
19,0:01:07.610420,44.83934664726257,Crossed line 'Broken'
20,0:01:07.837174,45.369526624679565,Crossed line 'Broken'
21,0:01:10.155117,47.47558856010437,Crossed line 'Broken'
22,0:01:10.510069,48.01297664642334,Crossed line 'Broken'
23,0:01:18.859912,56.321436643600464,Crossed line 'Broken'
24,0:01:19.427521,56.84974145889282,Crossed line 'Broken'
25,0:01:19.521780,56.84974145889282,Crossed line 'Broken'
26,0:01:21.431572,58.901373863220215,Crossed line 'SolidSolid'
27,0:01:21.555659,58.901373863220215,Crossed line 'SolidSolid'
28,0:01:22.787661,60.002032995224,Crossed line 'SolidSolid'
29,0:01:23.008158,60.51542258262634,Crossed line 'SolidSolid'
30,0:01:25.752064,63.086910009384155,Crossed line 'Broken'
31,0:01:25.942954,63.086910009384155,Crossed line 'Broken'
32,0:01:26.015658,63.086910009384155,Crossed line 'Broken'
33,0:01:26.246119,63.59122681617737,Crossed line 'Solid'
34,0:01:26.291154,63.59122681617737,Crossed line 'Broken'
35,0:01:26.427066,63.59122681617737,Crossed line 'Solid'
36,0:01:26.776151,64.12714052200317,Crossed line 'Solid'
37,0:01:26.952189,64.12714052200317,Crossed line 'Broken'
38,0:01:27.071539,64.12714052200317,Crossed line 'Broken' and 'Solid'
39,0:01:27.222632,64.65058946609497,Crossed line 'Broken' and 'SolidSolid'
40,0:01:27.307821,64.65058946609497,Crossed line 'Broken'
41,0:01:27.386134,64.65058946609497,Crossed line 'SolidSolid'
42,0:01:27.427292,64.65058946609497,Crossed line 'SolidSolid'
43,0:01:27.573683,64.65058946609497,Crossed line 'SolidSolid'
44,0:01:27.647810,65.15230107307434,Crossed line 'Broken'
45,0:01:27.647810,65.15230107307434,Crossed line 'Broken'
46,0:01:27.849532,65.15230107307434,Crossed line 'Broken'
47,0:01:27.900226,65.15230107307434,Crossed line 'Broken'
48,0:01:28.406221,65.67578673362732,Crossed line 'SolidSolid'
49,0:01:28.459934,65.67578673362732,Crossed line 'SolidSolid'
50,0:01:28.510187,65.67578673362732,Crossed line 'Broken'
51,0:01:28.556573,65.67578673362732,Crossed line 'Broken'
52,0:01:28.601234,65.67578673362732,Crossed line 'Broken'
53,0:01:28.955651,66.20306515693665,Crossed line 'Broken' and 'SolidSolid'
54,0:01:29.220553,66.71630883216858,Crossed line 'Broken' and 'SolidSolid'
55,0:01:29.587727,66.71630883216858,Crossed line 'Solid'
56,0:01:29.667932,66.71630883216858,Crossed line 'Broken'
57,0:01:29.716724,66.71630883216858,Crossed line 'Solid'
58,0:01:29.758225,67.26564979553223,Crossed line 'Broken'
59,0:01:30.135815,67.26564979553223,Crossed line 'Solid'
60,0:01:35.681904,72.98977065086365,Crossed line 'SolidSolid'
61,0:01:35.889999,72.98977065086365,Crossed line 'SolidSolid'
62,0:01:37.731086,75.09309434890747,Crossed line 'SolidSolid'
63,0:01:38.096361,75.6023223400116,Crossed line 'SolidSolid'
64,0:01:38.175108,75.6023223400116,Crossed line 'Broken'
65,0:01:38.626321,76.12652540206909,Crossed line 'Broken'
