,Sim_time,Rec_time,Autopilot,Event,Intensity
0,0:14:19.367249,84.60538148880005,False,Collision with 'Terrain',5522.321684753453
1,0:14:19.617015,84.60538148880005,False,Collision with 'Terrain',41.92650732279438
2,0:14:19.617015,84.60538148880005,False,Collision with 'Terrain',239.70250470793945
3,0:14:19.642886,84.60538148880005,False,Collision with 'Terrain',61.19293152738642
4,0:14:19.642886,84.60538148880005,False,Collision with 'Terrain',55.05794697558568
5,0:14:33.586933,98.56168389320374,False,Collision with 'Terrain',2605.4584887593164
6,0:14:34.632100,99.61339092254639,False,Collision with 'Terrain',5403.273511659729
7,0:14:36.853347,101.69142007827759,False,Collision with 'Terrain',546.2875589468254
8,0:14:36.853347,101.69142007827759,False,Collision with 'Terrain',184.97864060059996
9,0:14:48.208857,113.39409875869751,True,Collision with 'Terrain',1610.2272242657134
10,0:14:48.336683,113.39409875869751,True,Collision with 'Terrain',8072.442300590493
11,0:14:48.336683,113.39409875869751,True,Collision with 'Terrain',7605.651855468766
12,0:15:06.566503,131.4056408405304,True,Collision with 'Terrain',1691.3981640765146
13,0:15:06.877846,131.93371891975403,True,Collision with 'Terrain',70.01617569554197
14,0:15:06.877846,131.93371891975403,True,Collision with 'Terrain',118.78893133502692
15,0:15:06.941780,131.93371891975403,True,Collision with 'Terrain',7.048789492578163
